STA	TYPE	START	STOP	LON	LAT	NETID	NATFREQ	DAMPING	SEN	RECSEN	GAIN	COMPONENT	PAZFILE		
COEN	B	20080123	25990101	143.1749	-13.9574	AU	-12345	-12345	1494.04	1677721.6	1	BHN	sts2-g3.paz		
COEN	B	20080123	25990101	143.1749	-13.9574	AU	-12345	-12345	1494.04	1677721.6	1	BHZ	sts2-g3.paz		
CMSA	S	19950609	19951025	145.6916	-31.5375	AU	-12345	-12345	171	3276.8	1000	SHZ	mark-L4C-3D.paz	# Guess gain 	
CMSA	S	19951025	19981120	145.6916	-31.5375	AU	-12345	-12345	171	3276.8	2000	SHZ	mark-L4C-3D.paz	# changed gain from 275 based on residuals 2023-01-03	
CMSA	S	19981120	20010626	145.6916	-31.5375	AU	-12345	-12345	166.216	3276.8	1000	SHZ	willmore.paz		
CMSA	S	20010626	20050809	145.6916	-31.5375	AU	-12345	-12345	166.216	3276.8	1000	SHE	willmore.paz	# Ignores IRIS - uses xls data	
CMSA	S	20010626	20050809	145.6916	-31.5375	AU	-12345	-12345	166.216	3276.8	1000	SHN	willmore.paz		
CMSA	S	20010626	20050809	145.6916	-31.5375	AU	-12345	-12345	166.216	3276.8	1000	SHZ	willmore.paz		
CMSA	S	20050810	20080123	145.6916	-31.5375	AU	-12345	-12345	802.832	49938	16	SHE	cmg-40t-1s.paz		
CMSA	S	20050810	20080123	145.6916	-31.5375	AU	-12345	-12345	802.832	49938	16	SHN	cmg-40t-1s.paz		
CMSA	S	20050810	20080123	145.6916	-31.5375	AU	-12345	-12345	802.832	49938	16	SHZ	cmg-40t-1s.paz		
CMSA	H	20080123	20230507	145.6916	-31.5375	AU	-12345	-12345	1494.04	1677721.6	1	BHE	sts2.paz		
CMSA	H	20080123	20230507	145.6916	-31.5375	AU	-12345	-12345	1494.04	1677721.6	1	BHN	sts2.paz		
CMSA	H	20080123	20230507	145.6916	-31.5375	AU	-12345	-12345	1494.04	1677721.6	1	BHZ	sts2.paz		
CMSA	H	20080123	20230507	145.6916	-31.5375	AU	-12345	-12345	1494.04	1677721.6	1	HHE	sts2.paz		
CMSA	H	20080123	20230507	145.6916	-31.5375	AU	-12345	-12345	1494.04	1677721.6	1	HHN	sts2.paz		
CMSA	H	20080123	20230507	145.6916	-31.5375	AU	-12345	-12345	1494.04	1677721.6	1	HHZ	sts2.paz		
